Epoch,epoch_time, loss
[0],[43.420778311789036],[1.47041578125]
[1],[42.34499833919108],[1.35958578125]
[2],[42.16840435191989],[1.2617115625]
[3],[42.11827591061592],[1.18149859375]
[4],[41.84703024290502],[1.13024640625]
[5],[42.1306792832911],[1.0728946875]
[6],[41.74342286773026],[1.0248859375]
[7],[41.677159536629915],[0.9895259375]
[8],[41.64668169245124],[0.942365]
[9],[41.72868289984763],[0.90758828125]
[10],[41.72854105941951],[0.8691796875]
[11],[41.70185548439622],[0.839878671875]
[12],[41.727822832763195],[0.81504578125]
[13],[41.67201926931739],[0.78622609375]
[14],[41.782242296263576],[0.7586715625]
[15],[41.71203524060547],[0.738297109375]
[16],[41.731088291853666],[0.72257765625]
[17],[41.80021961219609],[0.70096203125]
[18],[41.69669826887548],[0.67246015625]
[19],[41.68145017512143],[0.651429609375]
[20],[41.81401135958731],[0.6288029296875]
[21],[41.7494293730706],[0.613835390625]
[22],[41.739921260625124],[0.592466015625]
[23],[41.73900547251105],[0.580271953125]
[24],[41.60448085144162],[0.5697598046875]
[25],[41.925111424177885],[0.545039453125]
[26],[41.79004790261388],[0.525981796875]
[27],[41.802021687850356],[0.5180849609375]
[28],[41.81774708814919],[0.496128828125]
[29],[41.73247943073511],[0.47825609375]
[30],[41.71707389317453],[0.4775762109375]
[31],[41.67369870096445],[0.4631218359375]
[32],[41.64068926125765],[0.453287890625]
[33],[41.70084702782333],[0.44240390625]
[34],[41.742631347849965],[0.4296268359375]
[35],[41.85298047401011],[0.422878203125]
[36],[41.70104052498937],[0.4029924609375]
[37],[41.69646414369345],[0.3931609375]
[38],[42.06545377150178],[0.3882055859375]
[39],[41.667979411780834],[0.38034734375]
[40],[41.884939102455974],[0.364617421875]
[41],[41.70340136066079],[0.3584740234375]
[42],[42.0986830573529],[0.3550278515625]
[43],[41.81870581395924],[0.346390078125]
[44],[41.67531972005963],[0.3326426171875]
[45],[41.61911162175238],[0.33085859375]
[46],[41.74640375748277],[0.322188359375]
[47],[41.81598966754973],[0.31587982421875]
[48],[41.68342222645879],[0.3094543359375]
[49],[41.60953278467059],[0.3014723046875]
[50],[41.7418948803097],[0.29667693359375]
[51],[41.735204454511404],[0.291088125]
[52],[41.71505719050765],[0.28671466796875]
[53],[41.70844792947173],[0.27833220703125]
[54],[41.69054011069238],[0.27726109375]
[55],[41.76110401749611],[0.268008984375]
[56],[41.74153164587915],[0.2691739453125]
[57],[41.7210797816515],[0.2599069140625]
[58],[41.682194862514734],[0.25352490234375]
[59],[41.73194043338299],[0.2458539453125]
[60],[41.71242455020547],[0.24343400390625]
[61],[41.6310747154057],[0.23906154296875]
[62],[41.7765998840332],[0.244407890625]
[63],[41.678164042532444],[0.23793904296875]
[64],[41.77614201977849],[0.2275761328125]
[65],[41.74320124462247],[0.22370689453125]
[66],[41.68383826687932],[0.2224742578125]
[67],[41.73012048751116],[0.2224990234375]
[68],[41.74041432701051],[0.2125222265625]
[69],[41.66752259619534],[0.21405380859375]
[70],[41.708183297887444],[0.2110060546875]
[71],[41.82638403773308],[0.2053951171875]
[72],[41.72461427003145],[0.20765609375]
[73],[41.69788716174662],[0.20508529296875]
[74],[41.708432069048285],[0.2015020703125]
[75],[41.73694558814168],[0.1942998828125]
[76],[41.770176043733954],[0.189111640625]
[77],[41.79671175964177],[0.18849328125]
[78],[41.74290288053453],[0.1885103515625]
[79],[41.7377778980881],[0.188191171875]
[80],[41.826009038835764],[0.1840763671875]
[81],[41.670376954600215],[0.18564796875]
[82],[41.74950597062707],[0.18060146484375]
[83],[41.92147952504456],[0.1785504296875]
[84],[41.798447309061885],[0.1723053515625]
[85],[41.720334706828],[0.16898291015625]
[86],[41.70261809416115],[0.1712967578125]
[87],[41.64321529306471],[0.1631515625]
[88],[41.701491413637996],[0.1657871484375]
[89],[41.89371547847986],[0.16427962890625]
[90],[41.64086506702006],[0.16672591796875]
[91],[41.69214453175664],[0.16129158203125]
[92],[41.87068251147866],[0.1571162109375]
[93],[41.729634806513786],[0.155414990234375]
[94],[41.73916370794177],[0.154309404296875]
[95],[41.7341052480042],[0.152718818359375]
[96],[41.81880726478994],[0.151358603515625]
[97],[41.858853220939636],[0.1506829296875]
[98],[41.734102515503764],[0.1509936328125]
[99],[41.85710674896836],[0.1452261328125]
